z2data11.csv - metoda: cocktail sort, liczebnosc: 200, liczba porownan: 15244, liczba zamian: 10293
z2data11.csv - metoda: comb sort,     liczebnosc: 200, liczba porownan: 3363, liczba zamian: 627
z2data12.csv - metoda: cocktail sort, liczebnosc: 400, liczba porownan: 61079, liczba zamian: 39626
z2data12.csv - metoda: comb sort,     liczebnosc: 400, liczba porownan: 7106, liczba zamian: 1401
z2data13.csv - metoda: cocktail sort, liczebnosc: 800, liczba porownan: 239800, liczba zamian: 157270
z2data13.csv - metoda: comb sort,     liczebnosc: 800, liczba porownan: 16576, liczba zamian: 3413
z2data21.csv - metoda: cocktail sort, liczebnosc: 200, liczba porownan: 19900, liczba zamian: 19900
z2data21.csv - metoda: comb sort,     liczebnosc: 200, liczba porownan: 2766, liczba zamian: 264
z2data22.csv - metoda: cocktail sort, liczebnosc: 400, liczba porownan: 79800, liczba zamian: 79800
z2data22.csv - metoda: comb sort,     liczebnosc: 400, liczba porownan: 6707, liczba zamian: 572
z2data23.csv - metoda: cocktail sort, liczebnosc: 800, liczba porownan: 319600, liczba zamian: 319600
z2data23.csv - metoda: comb sort,     liczebnosc: 800, liczba porownan: 14978, liczba zamian: 1242
z2data31.csv - metoda: cocktail sort, liczebnosc: 200, liczba porownan: 199, liczba zamian: 0
z2data31.csv - metoda: comb sort,     liczebnosc: 200, liczba porownan: 2567, liczba zamian: 0
z2data32.csv - metoda: cocktail sort, liczebnosc: 400, liczba porownan: 399, liczba zamian: 0
z2data32.csv - metoda: comb sort,     liczebnosc: 400, liczba porownan: 6308, liczba zamian: 0
z2data33.csv - metoda: cocktail sort, liczebnosc: 800, liczba porownan: 799, liczba zamian: 0
z2data33.csv - metoda: comb sort,     liczebnosc: 800, liczba porownan: 14179, liczba zamian: 0
